Date,Price
Apr 2018,3.338
Mar 2018,3.182
Feb 2018,3.099
Jan 2018,3.026
Dec 2017,3.028
Nov 2017,3.056
Oct 2017,3.005
Sep 2017,3.107
Aug 2017,2.928
Jul 2017,2.86
Jun 2017,2.906
May 2017,2.931
Apr 2017,2.933
Mar 2017,2.869
Feb 2017,2.784
Jan 2017,2.782
Dec 2016,2.635
Nov 2016,2.695
Oct 2016,2.753
Sep 2016,2.712
Aug 2016,2.638
Jul 2016,2.697
Jun 2016,2.678
May 2016,2.571
Apr 2016,2.363
Mar 2016,2.28
Feb 2016,2.161
Jan 2016,2.471
Dec 2015,2.504
Nov 2015,2.526
Oct 2015,2.573
Sep 2015,2.808
Aug 2015,3.123
Jul 2015,3.228
Jun 2015,3.167
May 2015,3.094
Apr 2015,2.838
Mar 2015,2.936
Feb 2015,2.418
Jan 2015,2.455
Dec 2014,2.918
Nov 2014,3.165
Oct 2014,3.51
Sep 2014,3.862
Aug 2014,3.953
Jul 2014,4.025
Jun 2014,4.017
May 2014,3.948
Apr 2014,3.867
Mar 2014,3.655
Feb 2014,3.421
Jan 2014,3.444
Dec 2013,3.407
Nov 2013,3.389
Oct 2013,3.619
Sep 2013,3.781
Aug 2013,3.884
Jul 2013,3.933
Jun 2013,3.911
May 2013,3.983
Apr 2013,3.757
Mar 2013,3.895
Feb 2013,3.73
Jan 2013,3.474
Dec 2012,3.452
Nov 2012,3.622
Oct 2012,4.056
Sep 2012,4.093
Aug 2012,3.945
Jul 2012,3.676
Jun 2012,4.135
May 2012,4.274
Apr 2012,4.191
Mar 2012,4.118
Feb 2012,3.76
Jan 2012,3.562
Dec 2011,3.59
Nov 2011,3.79
Oct 2011,3.861
Sep 2011,3.927
Aug 2011,3.844
Jul 2011,3.85
Jun 2011,3.933
May 2011,4.063
Apr 2011,3.935
Mar 2011,3.749
Feb 2011,3.418
Jan 2011,3.28
Dec 2010,3.206
Nov 2010,3.128
Oct 2010,3.064
Sep 2010,3.028
Aug 2010,3.115
Jul 2010,3.035
Jun 2010,2.999
May 2010,3.073
Apr 2010,3.091
Mar 2010,3
Feb 2010,2.845
Jan 2010,2.891
Dec 2009,2.826
Nov 2009,2.857
Oct 2009,2.816
Sep 2009,2.957
Aug 2009,2.862
Jul 2009,2.773
Jun 2009,2.817
May 2009,2.499
Apr 2009,2.338
Mar 2009,2.199
Feb 2009,2.188
Jan 2009,2.033
Dec 2008,1.882
Nov 2008,2.349
Oct 2008,3.236
Sep 2008,3.79
Aug 2008,4.028
Jul 2008,4.331
Jun 2008,4.326
May 2008,3.88
Apr 2008,3.607
Mar 2008,3.506
Feb 2008,3.149
Jan 2008,3.153
Dec 2007,3.171
Nov 2007,3.242
Oct 2007,3.01
Sep 2007,2.894
Aug 2007,2.827
Jul 2007,2.985
Jun 2007,3.19
May 2007,3.436
Apr 2007,3.135
Mar 2007,2.779
Feb 2007,2.493
Jan 2007,2.653
Dec 2006,2.642
Nov 2006,2.501
Oct 2006,2.535
Sep 2006,2.819
Aug 2006,3.035
Jul 2006,3.052
Jun 2006,3.129
May 2006,3.154
Apr 2006,2.771
Mar 2006,2.454
Feb 2006,2.296
Jan 2006,2.252
Dec 2005,2.236
Nov 2005,2.495
Oct 2005,2.807
Sep 2005,2.908
Aug 2005,2.645
Jul 2005,2.453
Jun 2005,2.319
May 2005,2.459
Apr 2005,2.465
Mar 2005,2.185
Feb 2005,1.971
Jan 2005,1.853
Dec 2004,1.947
Nov 2004,2.074
Oct 2004,2.092
Sep 2004,2.028
Aug 2004,1.983
Jul 2004,2.032
Jun 2004,2.232
May 2004,2.253
Apr 2004,1.96
Mar 2004,1.845
Feb 2004,1.728
Jan 2004,1.637
Dec 2003,1.537
Nov 2003,1.59
Oct 2003,1.657
Sep 2003,1.887
Aug 2003,1.78
Jul 2003,1.622
Jun 2003,1.591 
